registration_ID,student_ID,student_name,unit_ID,registration_date
REG0105,SCT211-0035/2023,Amanda Beard,UNIT003,2024-04-30
REG0106,SCT211-0036/2021,Courtney Robles,UNIT001,2023-04-23
REG0107,SCT211-0036/2021,Courtney Robles,UNIT004,2023-08-19
REG0108,SCT211-0036/2021,Courtney Robles,UNIT006,2024-11-18
REG0109,SCT211-0037/2022,Alex Jones,UNIT003,2023-09-16
REG0110,SCT211-0037/2022,Alex Jones,UNIT002,2022-12-05
REG0111,SCT211-0037/2022,Alex Jones,UNIT004,2024-06-03
REG0112,SCT211-0038/2021,Derek Mayo,UNIT005,2022-02-14
REG0113,SCT211-0038/2021,Derek Mayo,UNIT006,2024-05-31
REG0114,SCT211-0038/2021,Derek Mayo,UNIT001,2024-01-09
REG0115,SCT211-0039/2022,Cynthia Avila,UNIT006,2024-09-14
REG0116,SCT211-0039/2022,Cynthia Avila,UNIT003,2023-10-11
REG0117,SCT211-0039/2022,Cynthia Avila,UNIT005,2023-09-17
REG0118,SCT211-0040/2021,William Smith,UNIT004,2024-12-04
REG0119,SCT211-0040/2021,William Smith,UNIT001,2023-03-15
REG0120,SCT211-0040/2021,William Smith,UNIT005,2023-05-28
REG0121,SCT211-0041/2022,Samuel Luna,UNIT005,2022-09-16
REG0122,SCT211-0041/2022,Samuel Luna,UNIT006,2023-05-12
REG0123,SCT211-0041/2022,Samuel Luna,UNIT001,2024-09-11
REG0124,SCT211-0042/2021,Raymond Nelson,UNIT006,2024-11-28
REG0125,SCT211-0042/2021,Raymond Nelson,UNIT003,2022-07-09
REG0126,SCT211-0042/2021,Raymond Nelson,UNIT001,2023-10-19
REG0127,SCT211-0043/2021,Mr. Jacob Moyer,UNIT003,2023-09-22
REG0128,SCT211-0043/2021,Mr. Jacob Moyer,UNIT005,2022-11-19
REG0129,SCT211-0043/2021,Mr. Jacob Moyer,UNIT002,2025-01-01
REG0130,SCT211-0044/2021,Laurie Campos,UNIT003,2024-12-01
REG0131,SCT211-0044/2021,Laurie Campos,UNIT001,2022-06-02
REG0132,SCT211-0044/2021,Laurie Campos,UNIT004,2023-06-27
REG0133,SCT211-0045/2024,Edward Robinson,UNIT003,2024-10-19
REG0134,SCT211-0045/2024,Edward Robinson,UNIT002,2022-07-07
REG0135,SCT211-0045/2024,Edward Robinson,UNIT005,2024-04-01
REG0136,SCT211-0046/2023,Charles Gomez,UNIT002,2023-06-30
REG0137,SCT211-0046/2023,Charles Gomez,UNIT001,2023-01-23
REG0138,SCT211-0046/2023,Charles Gomez,UNIT005,2024-11-18
REG0139,SCT211-0047/2021,Austin Collins,UNIT006,2022-10-18
REG0140,SCT211-0047/2021,Austin Collins,UNIT003,2023-01-06
REG0141,SCT211-0047/2021,Austin Collins,UNIT005,2022-12-01
REG0142,SCT211-0048/2022,Kristina Miller,UNIT006,2023-04-08
REG0143,SCT211-0048/2022,Kristina Miller,UNIT002,2024-07-03
REG0144,SCT211-0048/2022,Kristina Miller,UNIT005,2022-09-23
REG0145,SCT211-0049/2021,Joseph Campbell,UNIT006,2023-03-29
REG0146,SCT211-0049/2021,Joseph Campbell,UNIT001,2024-04-22
REG0147,SCT211-0049/2021,Joseph Campbell,UNIT003,2023-12-27
REG0148,SCT211-0050/2023,Melinda Fisher,UNIT003,2022-02-01
REG0149,SCT211-0050/2023,Melinda Fisher,UNIT002,2022-11-27
REG0150,SCT211-0050/2023,Melinda Fisher,UNIT005,2024-12-10
REG0151,SCT211-0051/2024,Scott Wilson,UNIT005,2024-12-17
REG0152,SCT211-0051/2024,Scott Wilson,UNIT001,2023-06-25
REG0153,SCT211-0051/2024,Scott Wilson,UNIT003,2024-08-30
REG0154,SCT211-0052/2023,Gerald Weber,UNIT003,2024-09-06
REG0155,SCT211-0052/2023,Gerald Weber,UNIT005,2023-08-29
REG0156,SCT211-0052/2023,Gerald Weber,UNIT002,2024-06-24
REG0157,SCT211-0053/2023,Laura Castillo,UNIT002,2023-06-21
REG0158,SCT211-0053/2023,Laura Castillo,UNIT005,2023-01-20
REG0159,SCT211-0053/2023,Laura Castillo,UNIT003,2022-12-26
REG0160,SCT211-0054/2024,Crystal Page,UNIT004,2023-03-05
REG0161,SCT211-0054/2024,Crystal Page,UNIT005,2023-02-09
REG0162,SCT211-0054/2024,Crystal Page,UNIT003,2023-11-05
REG0163,SCT211-0055/2021,Nicholas Gibson,UNIT002,2022-07-18
REG0164,SCT211-0055/2021,Nicholas Gibson,UNIT005,2024-07-01
REG0165,SCT211-0055/2021,Nicholas Gibson,UNIT006,2024-06-20
REG0166,SCT211-0056/2021,Ryan Reyes,UNIT003,2023-11-26
REG0167,SCT211-0056/2021,Ryan Reyes,UNIT006,2022-01-12
REG0168,SCT211-0056/2021,Ryan Reyes,UNIT004,2024-09-09
REG0169,SCT211-0057/2024,Joseph Benitez,UNIT002,2022-04-03
REG0170,SCT211-0057/2024,Joseph Benitez,UNIT006,2022-07-11
REG0171,SCT211-0057/2024,Joseph Benitez,UNIT003,2023-07-11
REG0172,SCT211-0058/2021,John Hancock,UNIT006,2024-12-15
REG0173,SCT211-0058/2021,John Hancock,UNIT002,2024-06-01
REG0174,SCT211-0058/2021,John Hancock,UNIT003,2022-02-26
REG0175,SCT211-0059/2022,Jeremiah Davenport,UNIT001,2024-09-16
REG0176,SCT211-0059/2022,Jeremiah Davenport,UNIT002,2024-04-25
REG0177,SCT211-0059/2022,Jeremiah Davenport,UNIT003,2022-12-14
REG0178,SCT211-0060/2022,Douglas Roberts,UNIT003,2022-03-19
REG0179,SCT211-0060/2022,Douglas Roberts,UNIT001,2024-09-07
REG0180,SCT211-0060/2022,Douglas Roberts,UNIT004,2024-04-13
REG0181,SCT211-0061/2024,Emily Williams,UNIT005,2023-09-03
REG0182,SCT211-0061/2024,Emily Williams,UNIT006,2022-07-25
REG0183,SCT211-0061/2024,Emily Williams,UNIT003,2022-05-12
REG0184,SCT211-0062/2023,Lauren Brooks,UNIT001,2024-11-08
REG0185,SCT211-0062/2023,Lauren Brooks,UNIT005,2022-12-05
REG0186,SCT211-0062/2023,Lauren Brooks,UNIT002,2022-10-26
REG0187,SCT211-0063/2022,Charlene Washington,UNIT001,2023-08-01
REG0188,SCT211-0063/2022,Charlene Washington,UNIT003,2023-03-25
REG0189,SCT211-0063/2022,Charlene Washington,UNIT006,2022-09-15
REG0190,SCT211-0064/2021,Rebecca Stephens,UNIT002,2024-08-13
REG0191,SCT211-0064/2021,Rebecca Stephens,UNIT005,2023-08-04
REG0192,SCT211-0064/2021,Rebecca Stephens,UNIT004,2024-05-20
REG0193,SCT211-0065/2022,Abigail Robinson,UNIT003,2022-01-20
REG0194,SCT211-0065/2022,Abigail Robinson,UNIT001,2023-12-28
REG0195,SCT211-0065/2022,Abigail Robinson,UNIT005,2023-11-06
REG0196,SCT211-0066/2024,Chelsea Michael,UNIT002,2022-05-04
REG0197,SCT211-0066/2024,Chelsea Michael,UNIT006,2022-04-23
REG0198,SCT211-0066/2024,Chelsea Michael,UNIT001,2024-02-25
REG0199,SCT211-0067/2023,Ronald Reese,UNIT001,2024-09-11
REG0200,SCT211-0067/2023,Ronald Reese,UNIT002,2024-05-25
REG0201,SCT211-0067/2023,Ronald Reese,UNIT005,2024-01-22
REG0202,SCT211-0068/2023,Patricia Obrien,UNIT003,2023-12-03
REG0203,SCT211-0068/2023,Patricia Obrien,UNIT002,2022-01-29
REG0204,SCT211-0068/2023,Patricia Obrien,UNIT001,2022-09-10
REG0205,SCT211-0069/2023,Jason Gates,UNIT003,2022-08-24
REG0206,SCT211-0069/2023,Jason Gates,UNIT006,2023-02-09
REG0207,SCT211-0069/2023,Jason Gates,UNIT002,2024-09-14
REG0208,SCT211-0070/2024,Taylor Ryan,UNIT005,2023-03-24
REG0209,SCT211-0070/2024,Taylor Ryan,UNIT002,2024-06-22
REG0210,SCT211-0070/2024,Taylor Ryan,UNIT004,2024-04-13
REG0211,SCT211-0071/2024,Juan Rogers,UNIT004,2024-05-26
REG0212,SCT211-0071/2024,Juan Rogers,UNIT002,2022-05-26
REG0213,SCT211-0071/2024,Juan Rogers,UNIT001,2022-04-01
REG0214,SCT211-0072/2022,Shannon Carpenter,UNIT002,2022-05-26
REG0215,SCT211-0072/2022,Shannon Carpenter,UNIT005,2024-06-05
REG0216,SCT211-0072/2022,Shannon Carpenter,UNIT003,2022-12-19
REG0217,SCT211-0073/2024,Kimberly Clark,UNIT001,2023-02-16
REG0218,SCT211-0073/2024,Kimberly Clark,UNIT004,2022-01-16
REG0219,SCT211-0073/2024,Kimberly Clark,UNIT002,2023-08-27
REG0220,SCT211-0074/2024,Taylor Odonnell,UNIT001,2022-01-19
REG0221,SCT211-0074/2024,Taylor Odonnell,UNIT004,2022-03-17
REG0222,SCT211-0074/2024,Taylor Odonnell,UNIT005,2022-04-11
REG0223,SCT211-0075/2022,Alexandra Sellers,UNIT001,2022-02-12
REG0224,SCT211-0075/2022,Alexandra Sellers,UNIT003,2023-08-21
REG0225,SCT211-0075/2022,Alexandra Sellers,UNIT002,2024-05-31
REG0226,SCT211-0076/2021,Yesenia Shah,UNIT005,2023-11-21
REG0227,SCT211-0076/2021,Yesenia Shah,UNIT003,2023-06-04
REG0228,SCT211-0076/2021,Yesenia Shah,UNIT001,2023-09-17
REG0229,SCT211-0077/2024,Anne Phillips,UNIT002,2024-12-21
REG0230,SCT211-0077/2024,Anne Phillips,UNIT003,2023-04-25
REG0231,SCT211-0077/2024,Anne Phillips,UNIT006,2023-01-25
REG0232,SCT211-0078/2024,Richard Stewart,UNIT006,2022-11-20
REG0233,SCT211-0078/2024,Richard Stewart,UNIT004,2023-11-11
REG0234,SCT211-0078/2024,Richard Stewart,UNIT001,2022-11-04
REG0235,SCT211-0079/2021,Kerry Johnson,UNIT002,2024-04-15
REG0236,SCT211-0079/2021,Kerry Johnson,UNIT004,2024-05-06
REG0237,SCT211-0079/2021,Kerry Johnson,UNIT001,2022-10-04
REG0238,SCT211-0080/2023,Adrian Norris,UNIT003,2023-12-09
REG0239,SCT211-0080/2023,Adrian Norris,UNIT004,2022-04-28
REG0240,SCT211-0080/2023,Adrian Norris,UNIT005,2024-06-06
REG0241,SCT211-0081/2022,Jennifer Reed,UNIT005,2024-08-25
REG0242,SCT211-0081/2022,Jennifer Reed,UNIT003,2024-08-26
REG0243,SCT211-0081/2022,Jennifer Reed,UNIT006,2023-03-18
REG0244,SCT211-0082/2021,Jon Harris,UNIT005,2024-01-02
REG0245,SCT211-0082/2021,Jon Harris,UNIT004,2024-07-21
REG0246,SCT211-0082/2021,Jon Harris,UNIT003,2024-02-08
REG0247,SCT211-0083/2023,Jessica Dixon,UNIT005,2023-04-04
REG0248,SCT211-0083/2023,Jessica Dixon,UNIT002,2023-02-11
REG0249,SCT211-0083/2023,Jessica Dixon,UNIT003,2022-06-27
REG0250,SCT211-0084/2023,Bryan Parker,UNIT002,2024-02-16
REG0251,SCT211-0084/2023,Bryan Parker,UNIT003,2022-05-07
REG0252,SCT211-0084/2023,Bryan Parker,UNIT004,2022-02-24
REG0253,SCT211-0085/2021,Dylan Mcbride,UNIT004,2022-11-09
REG0254,SCT211-0085/2021,Dylan Mcbride,UNIT006,2024-03-06
REG0255,SCT211-0085/2021,Dylan Mcbride,UNIT005,2022-10-24
REG0256,SCT211-0086/2023,Patrick Edwards,UNIT006,2022-08-17
REG0257,SCT211-0086/2023,Patrick Edwards,UNIT004,2024-07-25
REG0258,SCT211-0086/2023,Patrick Edwards,UNIT002,2024-02-12
REG0259,SCT211-0087/2023,Bryan Thomas,UNIT001,2023-08-12
REG0260,SCT211-0087/2023,Bryan Thomas,UNIT002,2023-08-19
REG0261,SCT211-0087/2023,Bryan Thomas,UNIT006,2024-09-22
REG0262,SCT211-0088/2021,Anthony Brooks,UNIT001,2022-08-12
REG0263,SCT211-0088/2021,Anthony Brooks,UNIT003,2024-03-28
REG0264,SCT211-0088/2021,Anthony Brooks,UNIT002,2022-09-26
REG0265,SCT211-0089/2022,Jennifer Jackson,UNIT001,2022-09-07
REG0266,SCT211-0089/2022,Jennifer Jackson,UNIT006,2024-02-08
REG0267,SCT211-0089/2022,Jennifer Jackson,UNIT003,2023-12-14
REG0268,SCT211-0090/2022,Michelle Hicks,UNIT006,2022-10-08
REG0269,SCT211-0090/2022,Michelle Hicks,UNIT003,2024-10-21
REG0270,SCT211-0090/2022,Michelle Hicks,UNIT004,2022-01-12
REG0271,SCT211-0091/2021,Amber Brown,UNIT005,2022-02-24
REG0272,SCT211-0091/2021,Amber Brown,UNIT003,2022-10-24
REG0273,SCT211-0091/2021,Amber Brown,UNIT001,2024-03-20
REG0274,SCT211-0092/2022,Samuel Holder,UNIT001,2023-04-25
REG0275,SCT211-0092/2022,Samuel Holder,UNIT003,2022-09-15
REG0276,SCT211-0092/2022,Samuel Holder,UNIT002,2023-01-18
REG0277,SCT211-0093/2021,Stacey Adams,UNIT001,2022-03-25
REG0278,SCT211-0093/2021,Stacey Adams,UNIT003,2023-04-12
REG0279,SCT211-0093/2021,Stacey Adams,UNIT004,2022-04-03
REG0280,SCT211-0094/2022,Alex Mahoney,UNIT004,2024-01-21
REG0281,SCT211-0094/2022,Alex Mahoney,UNIT006,2023-06-04
REG0282,SCT211-0094/2022,Alex Mahoney,UNIT001,2024-08-08
REG0283,SCT211-0095/2023,Bruce Flores,UNIT003,2022-12-01
REG0284,SCT211-0095/2023,Bruce Flores,UNIT001,2023-01-13
REG0285,SCT211-0095/2023,Bruce Flores,UNIT004,2022-06-30
REG0286,SCT211-0096/2021,Rebekah Brown,UNIT006,2024-09-23
REG0287,SCT211-0096/2021,Rebekah Brown,UNIT001,2023-01-10
REG0288,SCT211-0096/2021,Rebekah Brown,UNIT004,2023-09-04
REG0289,SCT211-0097/2021,Jesse Medina DDS,UNIT003,2023-07-27
REG0290,SCT211-0097/2021,Jesse Medina DDS,UNIT002,2023-12-24
REG0291,SCT211-0097/2021,Jesse Medina DDS,UNIT005,2024-10-30
REG0292,SCT211-0098/2022,John Kelly,UNIT001,2024-12-13
REG0293,SCT211-0098/2022,John Kelly,UNIT002,2023-06-04
REG0294,SCT211-0098/2022,John Kelly,UNIT004,2024-04-24
REG0295,SCT211-0099/2021,Teresa Schneider,UNIT003,2023-01-28
REG0296,SCT211-0099/2021,Teresa Schneider,UNIT004,2023-12-17
REG0297,SCT211-0099/2021,Teresa Schneider,UNIT006,2024-03-01
REG0298,SCT211-0100/2021,Daniel Johnson,UNIT002,2022-11-18
REG0299,SCT211-0100/2021,Daniel Johnson,UNIT006,2023-04-13
REG0300,SCT211-0100/2021,Daniel Johnson,UNIT004,2024-07-08
REG0301,SCT211-0101/2022,Daniel Wise,UNIT002,2023-11-21
REG0302,SCT211-0101/2022,Daniel Wise,UNIT003,2023-03-28
REG0303,SCT211-0101/2022,Daniel Wise,UNIT001,2024-03-07
REG0304,SCT211-0102/2023,Michael Boyer,UNIT005,2024-01-06
REG0305,SCT211-0102/2023,Michael Boyer,UNIT003,2022-04-11
REG0306,SCT211-0102/2023,Michael Boyer,UNIT001,2022-01-18
REG0307,SCT211-0103/2022,Phillip Campbell,UNIT001,2024-02-20
REG0308,SCT211-0103/2022,Phillip Campbell,UNIT002,2024-10-21
REG0309,SCT211-0103/2022,Phillip Campbell,UNIT006,2023-05-28
REG0310,SCT211-0104/2022,Elizabeth Marsh,UNIT005,2024-08-16
REG0311,SCT211-0104/2022,Elizabeth Marsh,UNIT006,2022-05-25
REG0312,SCT211-0104/2022,Elizabeth Marsh,UNIT001,2022-08-29
REG0313,SCT211-0105/2021,Miguel Arias,UNIT006,2022-09-06
REG0314,SCT211-0105/2021,Miguel Arias,UNIT005,2022-08-26
REG0315,SCT211-0105/2021,Miguel Arias,UNIT003,2023-03-08
REG0316,SCT211-0106/2022,Veronica Haynes,UNIT005,2025-01-03
REG0317,SCT211-0106/2022,Veronica Haynes,UNIT001,2023-07-22
REG0318,SCT211-0106/2022,Veronica Haynes,UNIT003,2022-04-25
REG0319,SCT211-0107/2021,Jasmine Conner,UNIT005,2022-03-28
REG0320,SCT211-0107/2021,Jasmine Conner,UNIT002,2024-04-05
REG0321,SCT211-0107/2021,Jasmine Conner,UNIT001,2024-08-27
REG0322,SCT211-0108/2022,William Greene,UNIT001,2024-12-30
REG0323,SCT211-0108/2022,William Greene,UNIT004,2023-05-24
REG0324,SCT211-0108/2022,William Greene,UNIT002,2022-08-18
REG0325,SCT211-0109/2024,Amanda Baker,UNIT005,2022-06-12
REG0326,SCT211-0109/2024,Amanda Baker,UNIT004,2023-07-21
REG0327,SCT211-0109/2024,Amanda Baker,UNIT006,2024-11-13
REG0328,SCT211-0110/2022,Whitney Bartlett,UNIT001,2024-04-19
REG0329,SCT211-0110/2022,Whitney Bartlett,UNIT006,2022-07-07
REG0330,SCT211-0110/2022,Whitney Bartlett,UNIT002,2022-09-12
REG0331,SCT211-0111/2021,Brittany Liu,UNIT005,2023-01-28
REG0332,SCT211-0111/2021,Brittany Liu,UNIT003,2023-01-07
REG0333,SCT211-0111/2021,Brittany Liu,UNIT001,2024-01-11
REG0334,SCT211-0112/2021,Veronica Becker,UNIT001,2022-11-07
REG0335,SCT211-0112/2021,Veronica Becker,UNIT004,2022-07-25
REG0336,SCT211-0112/2021,Veronica Becker,UNIT002,2022-12-12
REG0337,SCT211-0113/2022,Erin Jones,UNIT005,2024-10-12
REG0338,SCT211-0113/2022,Erin Jones,UNIT004,2023-12-30
REG0339,SCT211-0113/2022,Erin Jones,UNIT002,2024-01-19
REG0340,SCT211-0114/2024,Roberto Mcguire,UNIT006,2023-12-16
REG0341,SCT211-0114/2024,Roberto Mcguire,UNIT003,2024-12-04
REG0342,SCT211-0114/2024,Roberto Mcguire,UNIT004,2023-12-06
REG0343,SCT211-0115/2022,Jessica Smith,UNIT001,2023-10-30
REG0344,SCT211-0115/2022,Jessica Smith,UNIT005,2022-09-24
REG0345,SCT211-0115/2022,Jessica Smith,UNIT003,2024-01-19
REG0346,SCT211-0116/2023,Thomas Poole,UNIT004,2023-11-02
REG0347,SCT211-0116/2023,Thomas Poole,UNIT003,2023-07-20
REG0348,SCT211-0116/2023,Thomas Poole,UNIT001,2023-08-07
REG0349,SCT211-0117/2023,Jodi Jones,UNIT003,2022-09-22
REG0350,SCT211-0117/2023,Jodi Jones,UNIT001,2023-10-03
REG0351,SCT211-0117/2023,Jodi Jones,UNIT004,2024-11-03
REG0352,SCT211-0118/2024,Tami Ross,UNIT002,2022-12-25
REG0353,SCT211-0118/2024,Tami Ross,UNIT006,2023-03-28
REG0354,SCT211-0118/2024,Tami Ross,UNIT003,2024-11-14
REG0355,SCT211-0119/2024,Martha Mcgee,UNIT005,2023-11-03
REG0356,SCT211-0119/2024,Martha Mcgee,UNIT003,2023-12-03
REG0357,SCT211-0119/2024,Martha Mcgee,UNIT006,2022-06-29
REG0358,SCT211-0120/2023,Belinda Knight,UNIT001,2023-09-15
REG0359,SCT211-0120/2023,Belinda Knight,UNIT004,2024-01-08
REG0360,SCT211-0120/2023,Belinda Knight,UNIT002,2022-08-09
REG0361,SCT211-0121/2023,Kimberly Roberts,UNIT001,2024-06-28
REG0362,SCT211-0121/2023,Kimberly Roberts,UNIT003,2022-10-15
REG0363,SCT211-0121/2023,Kimberly Roberts,UNIT004,2024-04-18
REG0364,SCT211-0122/2024,Sean Hicks,UNIT004,2022-10-16
REG0365,SCT211-0122/2024,Sean Hicks,UNIT001,2022-01-08
REG0366,SCT211-0122/2024,Sean Hicks,UNIT005,2022-12-29
REG0367,SCT211-0123/2024,Daniel Brown,UNIT006,2024-09-15
REG0368,SCT211-0123/2024,Daniel Brown,UNIT003,2022-03-05
REG0369,SCT211-0123/2024,Daniel Brown,UNIT002,2024-12-31
REG0370,SCT211-0124/2024,Jessica Harris,UNIT006,2023-09-13
REG0371,SCT211-0124/2024,Jessica Harris,UNIT002,2024-01-16
