result_ID,student_ID,student_name,unit_ID,marks,grade
RES0097,SCT211-0017/2023,Ashlee Mosley,UNIT001,51.63,C
RES0098,SCT211-0017/2023,Ashlee Mosley,UNIT002,66.99,B
RES0099,SCT211-0017/2023,Ashlee Mosley,UNIT003,98.44,A
RES0100,SCT211-0017/2023,Ashlee Mosley,UNIT004,53.98,C
RES0101,SCT211-0017/2023,Ashlee Mosley,UNIT005,41.47,D
RES0102,SCT211-0017/2023,Ashlee Mosley,UNIT006,50.03,C
RES0103,SCT211-0018/2024,Andrew Shields,UNIT001,91.82,A
RES0104,SCT211-0018/2024,Andrew Shields,UNIT002,66.78,B
RES0105,SCT211-0018/2024,Andrew Shields,UNIT003,89.5,A
RES0106,SCT211-0018/2024,Andrew Shields,UNIT004,81.4,A
RES0107,SCT211-0018/2024,Andrew Shields,UNIT005,62.39,B
RES0108,SCT211-0018/2024,Andrew Shields,UNIT006,72.05,A
RES0109,SCT211-0019/2022,Jason Griffin,UNIT001,56.02,C
RES0110,SCT211-0019/2022,Jason Griffin,UNIT002,92.2,A
RES0111,SCT211-0019/2022,Jason Griffin,UNIT003,97.08,A
RES0112,SCT211-0019/2022,Jason Griffin,UNIT004,65.35,B
RES0113,SCT211-0019/2022,Jason Griffin,UNIT005,80.41,A
RES0114,SCT211-0019/2022,Jason Griffin,UNIT006,87.93,A
RES0115,SCT211-0020/2023,Andre Ellis,UNIT001,83.26,A
RES0116,SCT211-0020/2023,Andre Ellis,UNIT002,83.48,A
RES0117,SCT211-0020/2023,Andre Ellis,UNIT003,49.82,D
RES0118,SCT211-0020/2023,Andre Ellis,UNIT004,69.44,B
RES0119,SCT211-0020/2023,Andre Ellis,UNIT005,77.52,A
RES0120,SCT211-0020/2023,Andre Ellis,UNIT006,78.69,A
RES0121,SCT211-0021/2024,Kaitlin Ramirez,UNIT001,44.47,D
RES0122,SCT211-0021/2024,Kaitlin Ramirez,UNIT002,69.23,B
RES0123,SCT211-0021/2024,Kaitlin Ramirez,UNIT003,84.14,A
RES0124,SCT211-0021/2024,Kaitlin Ramirez,UNIT004,83.57,A
RES0125,SCT211-0021/2024,Kaitlin Ramirez,UNIT005,82.94,A
RES0126,SCT211-0021/2024,Kaitlin Ramirez,UNIT006,57.07,C
RES0127,SCT211-0022/2023,Jeffrey Hernandez,UNIT001,42.6,D
RES0128,SCT211-0022/2023,Jeffrey Hernandez,UNIT002,67.03,B
RES0129,SCT211-0022/2023,Jeffrey Hernandez,UNIT003,42.08,D
RES0130,SCT211-0022/2023,Jeffrey Hernandez,UNIT004,42.86,D
RES0131,SCT211-0022/2023,Jeffrey Hernandez,UNIT005,47.65,D
RES0132,SCT211-0022/2023,Jeffrey Hernandez,UNIT006,93.21,A
RES0133,SCT211-0023/2024,Dominic Gallagher,UNIT001,61.44,B
RES0134,SCT211-0023/2024,Dominic Gallagher,UNIT002,92.17,A
RES0135,SCT211-0023/2024,Dominic Gallagher,UNIT003,48.32,D
RES0136,SCT211-0023/2024,Dominic Gallagher,UNIT004,64.65,B
RES0137,SCT211-0023/2024,Dominic Gallagher,UNIT005,42.68,D
RES0138,SCT211-0023/2024,Dominic Gallagher,UNIT006,74.9,A
RES0139,SCT211-0024/2023,Joseph Yates,UNIT001,53.43,C
RES0140,SCT211-0024/2023,Joseph Yates,UNIT002,98.19,A
RES0141,SCT211-0024/2023,Joseph Yates,UNIT003,85.07,A
RES0142,SCT211-0024/2023,Joseph Yates,UNIT004,99.47,A
RES0143,SCT211-0024/2023,Joseph Yates,UNIT005,73.29,A
RES0144,SCT211-0024/2023,Joseph Yates,UNIT006,82.7,A
RES0145,SCT211-0025/2024,Kimberly Jones,UNIT001,73.74,A
RES0146,SCT211-0025/2024,Kimberly Jones,UNIT002,42.04,D
RES0147,SCT211-0025/2024,Kimberly Jones,UNIT003,89.28,A
RES0148,SCT211-0025/2024,Kimberly Jones,UNIT004,50.4,C
RES0149,SCT211-0025/2024,Kimberly Jones,UNIT005,79.24,A
RES0150,SCT211-0025/2024,Kimberly Jones,UNIT006,58.88,C
RES0151,SCT211-0026/2023,Jennifer Gregory,UNIT001,76.28,A
RES0152,SCT211-0026/2023,Jennifer Gregory,UNIT002,68.21,B
RES0153,SCT211-0026/2023,Jennifer Gregory,UNIT003,71.0,A
RES0154,SCT211-0026/2023,Jennifer Gregory,UNIT004,83.29,A
RES0155,SCT211-0026/2023,Jennifer Gregory,UNIT005,95.55,A
RES0156,SCT211-0026/2023,Jennifer Gregory,UNIT006,47.44,D
RES0157,SCT211-0027/2023,Melissa Cruz,UNIT001,80.42,A
RES0158,SCT211-0027/2023,Melissa Cruz,UNIT002,73.29,A
RES0159,SCT211-0027/2023,Melissa Cruz,UNIT003,45.86,D
RES0160,SCT211-0027/2023,Melissa Cruz,UNIT004,64.56,B
RES0161,SCT211-0027/2023,Melissa Cruz,UNIT005,75.01,A
RES0162,SCT211-0027/2023,Melissa Cruz,UNIT006,82.01,A
RES0163,SCT211-0028/2023,Robert Stewart,UNIT001,69.75,B
RES0164,SCT211-0028/2023,Robert Stewart,UNIT002,63.98,B
RES0165,SCT211-0028/2023,Robert Stewart,UNIT003,76.43,A
RES0166,SCT211-0028/2023,Robert Stewart,UNIT004,98.48,A
RES0167,SCT211-0028/2023,Robert Stewart,UNIT005,49.66,D
RES0168,SCT211-0028/2023,Robert Stewart,UNIT006,71.53,A
RES0169,SCT211-0029/2024,Brenda Pierce,UNIT001,76.95,A
RES0170,SCT211-0029/2024,Brenda Pierce,UNIT002,91.14,A
RES0171,SCT211-0029/2024,Brenda Pierce,UNIT003,98.43,A
RES0172,SCT211-0029/2024,Brenda Pierce,UNIT004,79.01,A
RES0173,SCT211-0029/2024,Brenda Pierce,UNIT005,97.5,A
RES0174,SCT211-0029/2024,Brenda Pierce,UNIT006,91.49,A
RES0175,SCT211-0030/2023,Charlene Taylor,UNIT001,66.0,B
RES0176,SCT211-0030/2023,Charlene Taylor,UNIT002,49.78,D
RES0177,SCT211-0030/2023,Charlene Taylor,UNIT003,50.99,C
RES0178,SCT211-0030/2023,Charlene Taylor,UNIT004,88.5,A
RES0179,SCT211-0030/2023,Charlene Taylor,UNIT005,94.08,A
RES0180,SCT211-0030/2023,Charlene Taylor,UNIT006,45.3,D
RES0181,SCT211-0031/2024,Mary Gilbert,UNIT001,71.42,A
RES0182,SCT211-0031/2024,Mary Gilbert,UNIT002,58.59,C
RES0183,SCT211-0031/2024,Mary Gilbert,UNIT003,96.42,A
RES0184,SCT211-0031/2024,Mary Gilbert,UNIT004,82.08,A
RES0185,SCT211-0031/2024,Mary Gilbert,UNIT005,76.84,A
RES0186,SCT211-0031/2024,Mary Gilbert,UNIT006,60.04,B
RES0187,SCT211-0032/2022,Brianna Rodriguez,UNIT001,86.47,A
RES0188,SCT211-0032/2022,Brianna Rodriguez,UNIT002,76.8,A
RES0189,SCT211-0032/2022,Brianna Rodriguez,UNIT003,49.27,D
RES0190,SCT211-0032/2022,Brianna Rodriguez,UNIT004,48.87,D
RES0191,SCT211-0032/2022,Brianna Rodriguez,UNIT005,47.6,D
RES0192,SCT211-0032/2022,Brianna Rodriguez,UNIT006,89.76,A
RES0193,SCT211-0033/2024,Debra Kim,UNIT001,67.43,B
RES0194,SCT211-0033/2024,Debra Kim,UNIT002,61.23,B
RES0195,SCT211-0033/2024,Debra Kim,UNIT003,40.34,D
RES0196,SCT211-0033/2024,Debra Kim,UNIT004,94.2,A
RES0197,SCT211-0033/2024,Debra Kim,UNIT005,87.99,A
RES0198,SCT211-0033/2024,Debra Kim,UNIT006,56.0,C
RES0199,SCT211-0034/2023,Richard Williams,UNIT001,63.8,B
RES0200,SCT211-0034/2023,Richard Williams,UNIT002,67.17,B
RES0201,SCT211-0034/2023,Richard Williams,UNIT003,51.88,C
RES0202,SCT211-0034/2023,Richard Williams,UNIT004,54.14,C
RES0203,SCT211-0034/2023,Richard Williams,UNIT005,67.2,B
RES0204,SCT211-0034/2023,Richard Williams,UNIT006,40.73,D
RES0205,SCT211-0035/2023,Amanda Beard,UNIT001,50.31,C
RES0206,SCT211-0035/2023,Amanda Beard,UNIT002,61.72,B
RES0207,SCT211-0035/2023,Amanda Beard,UNIT003,50.8,C
RES0208,SCT211-0035/2023,Amanda Beard,UNIT004,86.26,A
RES0209,SCT211-0035/2023,Amanda Beard,UNIT005,70.26,A
RES0210,SCT211-0035/2023,Amanda Beard,UNIT006,54.21,C
RES0211,SCT211-0036/2021,Courtney Robles,UNIT001,77.43,A
RES0212,SCT211-0036/2021,Courtney Robles,UNIT002,74.95,A
RES0213,SCT211-0036/2021,Courtney Robles,UNIT003,82.42,A
RES0214,SCT211-0036/2021,Courtney Robles,UNIT004,87.83,A
RES0215,SCT211-0036/2021,Courtney Robles,UNIT005,59.67,C
RES0216,SCT211-0036/2021,Courtney Robles,UNIT006,90.04,A
RES0217,SCT211-0037/2022,Alex Jones,UNIT001,83.15,A
RES0218,SCT211-0037/2022,Alex Jones,UNIT002,56.54,C
RES0219,SCT211-0037/2022,Alex Jones,UNIT003,82.34,A
RES0220,SCT211-0037/2022,Alex Jones,UNIT004,78.25,A
RES0221,SCT211-0037/2022,Alex Jones,UNIT005,41.87,D
RES0222,SCT211-0037/2022,Alex Jones,UNIT006,45.41,D
RES0223,SCT211-0038/2021,Derek Mayo,UNIT001,65.32,B
RES0224,SCT211-0038/2021,Derek Mayo,UNIT002,89.13,A
RES0225,SCT211-0038/2021,Derek Mayo,UNIT003,54.6,C
RES0226,SCT211-0038/2021,Derek Mayo,UNIT004,56.42,C
RES0227,SCT211-0038/2021,Derek Mayo,UNIT005,89.55,A
RES0228,SCT211-0038/2021,Derek Mayo,UNIT006,52.85,C
RES0229,SCT211-0039/2022,Cynthia Avila,UNIT001,79.47,A
RES0230,SCT211-0039/2022,Cynthia Avila,UNIT002,52.05,C
RES0231,SCT211-0039/2022,Cynthia Avila,UNIT003,66.9,B
RES0232,SCT211-0039/2022,Cynthia Avila,UNIT004,64.85,B
RES0233,SCT211-0039/2022,Cynthia Avila,UNIT005,79.57,A
RES0234,SCT211-0039/2022,Cynthia Avila,UNIT006,56.81,C
RES0235,SCT211-0040/2021,William Smith,UNIT001,92.42,A
RES0236,SCT211-0040/2021,William Smith,UNIT002,67.1,B
RES0237,SCT211-0040/2021,William Smith,UNIT003,67.33,B
RES0238,SCT211-0040/2021,William Smith,UNIT004,79.67,A
RES0239,SCT211-0040/2021,William Smith,UNIT005,70.35,A
RES0240,SCT211-0040/2021,William Smith,UNIT006,64.36,B
RES0241,SCT211-0041/2022,Samuel Luna,UNIT001,69.87,B
RES0242,SCT211-0041/2022,Samuel Luna,UNIT002,88.72,A
RES0243,SCT211-0041/2022,Samuel Luna,UNIT003,95.73,A
RES0244,SCT211-0041/2022,Samuel Luna,UNIT004,89.22,A
RES0245,SCT211-0041/2022,Samuel Luna,UNIT005,78.23,A
RES0246,SCT211-0041/2022,Samuel Luna,UNIT006,67.27,B
RES0247,SCT211-0042/2021,Raymond Nelson,UNIT001,69.34,B
RES0248,SCT211-0042/2021,Raymond Nelson,UNIT002,60.84,B
RES0249,SCT211-0042/2021,Raymond Nelson,UNIT003,62.92,B
RES0250,SCT211-0042/2021,Raymond Nelson,UNIT004,49.35,D
RES0251,SCT211-0042/2021,Raymond Nelson,UNIT005,67.07,B
RES0252,SCT211-0042/2021,Raymond Nelson,UNIT006,89.45,A
RES0253,SCT211-0043/2021,Mr. Jacob Moyer,UNIT001,90.19,A
RES0254,SCT211-0043/2021,Mr. Jacob Moyer,UNIT002,79.06,A
RES0255,SCT211-0043/2021,Mr. Jacob Moyer,UNIT003,70.59,A
RES0256,SCT211-0043/2021,Mr. Jacob Moyer,UNIT004,83.17,A
RES0257,SCT211-0043/2021,Mr. Jacob Moyer,UNIT005,81.66,A
RES0258,SCT211-0043/2021,Mr. Jacob Moyer,UNIT006,60.15,B
RES0259,SCT211-0044/2021,Laurie Campos,UNIT001,83.75,A
RES0260,SCT211-0044/2021,Laurie Campos,UNIT002,51.2,C
RES0261,SCT211-0044/2021,Laurie Campos,UNIT003,98.56,A
RES0262,SCT211-0044/2021,Laurie Campos,UNIT004,62.35,B
RES0263,SCT211-0044/2021,Laurie Campos,UNIT005,87.53,A
RES0264,SCT211-0044/2021,Laurie Campos,UNIT006,57.49,C
RES0265,SCT211-0045/2024,Edward Robinson,UNIT001,46.62,D
RES0266,SCT211-0045/2024,Edward Robinson,UNIT002,70.48,A
RES0267,SCT211-0045/2024,Edward Robinson,UNIT003,74.92,A
RES0268,SCT211-0045/2024,Edward Robinson,UNIT004,83.59,A
RES0269,SCT211-0045/2024,Edward Robinson,UNIT005,94.19,A
RES0270,SCT211-0045/2024,Edward Robinson,UNIT006,87.07,A
RES0271,SCT211-0046/2023,Charles Gomez,UNIT001,83.46,A
RES0272,SCT211-0046/2023,Charles Gomez,UNIT002,49.62,D
RES0273,SCT211-0046/2023,Charles Gomez,UNIT003,89.93,A
RES0274,SCT211-0046/2023,Charles Gomez,UNIT004,99.31,A
RES0275,SCT211-0046/2023,Charles Gomez,UNIT005,58.55,C
RES0276,SCT211-0046/2023,Charles Gomez,UNIT006,49.66,D
RES0277,SCT211-0047/2021,Austin Collins,UNIT001,79.75,A
RES0278,SCT211-0047/2021,Austin Collins,UNIT002,71.24,A
RES0279,SCT211-0047/2021,Austin Collins,UNIT003,64.99,B
RES0280,SCT211-0047/2021,Austin Collins,UNIT004,47.88,D
RES0281,SCT211-0047/2021,Austin Collins,UNIT005,83.82,A
RES0282,SCT211-0047/2021,Austin Collins,UNIT006,65.25,B
RES0283,SCT211-0048/2022,Kristina Miller,UNIT001,49.92,D
RES0284,SCT211-0048/2022,Kristina Miller,UNIT002,99.23,A
RES0285,SCT211-0048/2022,Kristina Miller,UNIT003,88.16,A
RES0286,SCT211-0048/2022,Kristina Miller,UNIT004,88.49,A
RES0287,SCT211-0048/2022,Kristina Miller,UNIT005,80.12,A
RES0288,SCT211-0048/2022,Kristina Miller,UNIT006,60.77,B
RES0289,SCT211-0049/2021,Joseph Campbell,UNIT001,93.8,A
RES0290,SCT211-0049/2021,Joseph Campbell,UNIT002,80.4,A
RES0291,SCT211-0049/2021,Joseph Campbell,UNIT003,52.61,C
RES0292,SCT211-0049/2021,Joseph Campbell,UNIT004,90.45,A
RES0293,SCT211-0049/2021,Joseph Campbell,UNIT005,50.42,C
RES0294,SCT211-0049/2021,Joseph Campbell,UNIT006,87.08,A
RES0295,SCT211-0050/2023,Melinda Fisher,UNIT001,82.82,A
RES0296,SCT211-0050/2023,Melinda Fisher,UNIT002,97.94,A
RES0297,SCT211-0050/2023,Melinda Fisher,UNIT003,71.9,A
RES0298,SCT211-0050/2023,Melinda Fisher,UNIT004,84.39,A
RES0299,SCT211-0050/2023,Melinda Fisher,UNIT005,61.26,B
RES0300,SCT211-0050/2023,Melinda Fisher,UNIT006,46.28,D
RES0301,SCT211-0051/2024,Scott Wilson,UNIT001,43.31,D
RES0302,SCT211-0051/2024,Scott Wilson,UNIT002,98.46,A
RES0303,SCT211-0051/2024,Scott Wilson,UNIT003,45.16,D
RES0304,SCT211-0051/2024,Scott Wilson,UNIT004,92.05,A
RES0305,SCT211-0051/2024,Scott Wilson,UNIT005,48.49,D
RES0306,SCT211-0051/2024,Scott Wilson,UNIT006,99.71,A
RES0307,SCT211-0052/2023,Gerald Weber,UNIT001,59.64,C
RES0308,SCT211-0052/2023,Gerald Weber,UNIT002,47.74,D
RES0309,SCT211-0052/2023,Gerald Weber,UNIT003,56.54,C
RES0310,SCT211-0052/2023,Gerald Weber,UNIT004,94.06,A
RES0311,SCT211-0052/2023,Gerald Weber,UNIT005,61.97,B
RES0312,SCT211-0052/2023,Gerald Weber,UNIT006,68.18,B
RES0313,SCT211-0053/2023,Laura Castillo,UNIT001,98.76,A
RES0314,SCT211-0053/2023,Laura Castillo,UNIT002,50.02,C
RES0315,SCT211-0053/2023,Laura Castillo,UNIT003,94.97,A
RES0316,SCT211-0053/2023,Laura Castillo,UNIT004,89.49,A
RES0317,SCT211-0053/2023,Laura Castillo,UNIT005,48.32,D
RES0318,SCT211-0053/2023,Laura Castillo,UNIT006,49.09,D
RES0319,SCT211-0054/2024,Crystal Page,UNIT001,54.97,C
RES0320,SCT211-0054/2024,Crystal Page,UNIT002,65.79,B
RES0321,SCT211-0054/2024,Crystal Page,UNIT003,45.87,D
RES0322,SCT211-0054/2024,Crystal Page,UNIT004,86.82,A
RES0323,SCT211-0054/2024,Crystal Page,UNIT005,63.92,B
RES0324,SCT211-0054/2024,Crystal Page,UNIT006,70.44,A
RES0325,SCT211-0055/2021,Nicholas Gibson,UNIT001,86.94,A
RES0326,SCT211-0055/2021,Nicholas Gibson,UNIT002,43.27,D
RES0327,SCT211-0055/2021,Nicholas Gibson,UNIT003,94.56,A
RES0328,SCT211-0055/2021,Nicholas Gibson,UNIT004,90.85,A
RES0329,SCT211-0055/2021,Nicholas Gibson,UNIT005,71.09,A
RES0330,SCT211-0055/2021,Nicholas Gibson,UNIT006,94.39,A
RES0331,SCT211-0056/2021,Ryan Reyes,UNIT001,53.01,C
RES0332,SCT211-0056/2021,Ryan Reyes,UNIT002,89.87,A
RES0333,SCT211-0056/2021,Ryan Reyes,UNIT003,75.28,A
RES0334,SCT211-0056/2021,Ryan Reyes,UNIT004,72.41,A
RES0335,SCT211-0056/2021,Ryan Reyes,UNIT005,65.34,B
RES0336,SCT211-0056/2021,Ryan Reyes,UNIT006,50.09,C
RES0337,SCT211-0057/2024,Joseph Benitez,UNIT001,66.55,B
RES0338,SCT211-0057/2024,Joseph Benitez,UNIT002,62.86,B
RES0339,SCT211-0057/2024,Joseph Benitez,UNIT003,96.83,A
RES0340,SCT211-0057/2024,Joseph Benitez,UNIT004,56.69,C
RES0341,SCT211-0057/2024,Joseph Benitez,UNIT005,64.48,B
RES0342,SCT211-0057/2024,Joseph Benitez,UNIT006,70.75,A
RES0343,SCT211-0058/2021,John Hancock,UNIT001,57.14,C
RES0344,SCT211-0058/2021,John Hancock,UNIT002,92.63,A
RES0345,SCT211-0058/2021,John Hancock,UNIT003,66.98,B
RES0346,SCT211-0058/2021,John Hancock,UNIT004,69.74,B
RES0347,SCT211-0058/2021,John Hancock,UNIT005,89.51,A
RES0348,SCT211-0058/2021,John Hancock,UNIT006,73.49,A
RES0349,SCT211-0059/2022,Jeremiah Davenport,UNIT001,63.44,B
RES0350,SCT211-0059/2022,Jeremiah Davenport,UNIT002,79.27,A
RES0351,SCT211-0059/2022,Jeremiah Davenport,UNIT003,64.45,B
RES0352,SCT211-0059/2022,Jeremiah Davenport,UNIT004,48.11,D
RES0353,SCT211-0059/2022,Jeremiah Davenport,UNIT005,87.54,A
RES0354,SCT211-0059/2022,Jeremiah Davenport,UNIT006,41.4,D
RES0355,SCT211-0060/2022,Douglas Roberts,UNIT001,54.73,C
RES0356,SCT211-0060/2022,Douglas Roberts,UNIT002,56.92,C
RES0357,SCT211-0060/2022,Douglas Roberts,UNIT003,70.61,A
RES0358,SCT211-0060/2022,Douglas Roberts,UNIT004,88.79,A
RES0359,SCT211-0060/2022,Douglas Roberts,UNIT005,41.34,D
RES0360,SCT211-0060/2022,Douglas Roberts,UNIT006,71.04,A
RES0361,SCT211-0061/2024,Emily Williams,UNIT001,57.85,C
RES0362,SCT211-0061/2024,Emily Williams,UNIT002,62.72,B
RES0363,SCT211-0061/2024,Emily Williams,UNIT003,94.4,A
RES0364,SCT211-0061/2024,Emily Williams,UNIT004,68.56,B
RES0365,SCT211-0061/2024,Emily Williams,UNIT005,45.47,D
RES0366,SCT211-0061/2024,Emily Williams,UNIT006,84.3,A
RES0367,SCT211-0062/2023,Lauren Brooks,UNIT001,54.68,C
RES0368,SCT211-0062/2023,Lauren Brooks,UNIT002,63.03,B
RES0369,SCT211-0062/2023,Lauren Brooks,UNIT003,72.42,A
RES0370,SCT211-0062/2023,Lauren Brooks,UNIT004,54.44,C
RES0371,SCT211-0062/2023,Lauren Brooks,UNIT005,41.27,D
RES0372,SCT211-0062/2023,Lauren Brooks,UNIT006,46.98,D
RES0373,SCT211-0063/2022,Charlene Washington,UNIT001,58.55,C
RES0374,SCT211-0063/2022,Charlene Washington,UNIT002,47.0,D
RES0375,SCT211-0063/2022,Charlene Washington,UNIT003,41.49,D
RES0376,SCT211-0063/2022,Charlene Washington,UNIT004,70.94,A
RES0377,SCT211-0063/2022,Charlene Washington,UNIT005,83.46,A
RES0378,SCT211-0063/2022,Charlene Washington,UNIT006,51.69,C
RES0379,SCT211-0064/2021,Rebecca Stephens,UNIT001,99.08,A
RES0380,SCT211-0064/2021,Rebecca Stephens,UNIT002,95.42,A
RES0381,SCT211-0064/2021,Rebecca Stephens,UNIT003,69.08,B
